distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
10-50,50,500048,Dijkstra,13.0384,0.062799,5714,True,13.9029
10-50,50,500048,Breadth-First,13.0384,0.023111,3584,True,13.9029
10-50,50,500048,Theta*,13.0384,0.000495,11,True,13.3693
10-50,50,500049,A*,16.0312,0.000806,26,True,17.0492
10-50,50,500049,Dijkstra,16.0312,0.095291,8780,True,17.0492
10-50,50,500049,Breadth-First,16.0312,0.03081,4554,True,17.0492
10-50,50,500049,Theta*,16.0312,0.016544,12,True,16.0312
10-50,50,500050,A*,15.3948,0.002179,120,True,16.9494
10-50,50,500050,Dijkstra,15.3948,0.064357,5868,True,16.9494
10-50,50,500050,Breadth-First,15.3948,0.032809,4950,True,16.9494
10-50,50,500050,Theta*,15.3948,0.009175,14,True,15.3948
10-50,50,500051,A*,21.2368,0.002282,94,True,22.5605
10-50,50,500051,Dijkstra,21.2368,0.296169,27169,True,22.5605
10-50,50,500051,Breadth-First,21.2368,0.215646,32339,True,22.5605
10-50,50,500051,Theta*,21.2368,0.009011,22,True,21.7823
10-50,50,500052,A*,26.4764,0.001593,82,True,27.7272
10-50,50,500052,Dijkstra,26.4764,0.531453,48036,True,27.7272
10-50,50,500052,Breadth-First,26.4764,0.213879,31520,True,27.7272
10-50,50,500052,Theta*,26.4764,0.009782,21,True,26.6352
10-50,50,500053,A*,17.2916,0.002015,162,True,23.3383
10-50,50,500053,Dijkstra,17.2916,0.127693,11771,True,23.3383
10-50,50,500053,Breadth-First,17.2916,0.059687,9114,True,23.3383
10-50,50,500053,Theta*,17.2916,0.009654,103,True,21.562
10-50,50,500054,A*,25.9615,0.003359,246,True,29.7559
10-50,50,500054,Dijkstra,25.9615,0.389973,36248,True,29.7559
10-50,50,500054,Breadth-First,25.9615,0.159158,23903,True,29.9985
10-50,50,500054,Theta*,25.9615,0.011852,127,True,28.7504
10-50,50,500055,A*,27.6767,0.001979,128,True,30.5352
10-50,50,500055,Dijkstra,27.6767,0.678999,48954,True,30.5352
10-50,50,500055,Breadth-First,27.6767,0.481742,57612,True,35.7559
10-50,50,500055,Theta*,27.6767,0.012882,72,True,29.3498
10-50,50,500056,A*,18.1384,0.001222,56,True,20.121
10-50,50,500056,Dijkstra,18.1384,0.136409,12461,True,20.121
10-50,50,500056,Breadth-First,18.1384,0.079749,12108,True,20.121
10-50,50,500056,Theta*,18.1384,0.009275,18,True,18.4568
10-50,50,500057,A*,13.3791,0.001111,35,True,15.0458
10-50,50,500057,Dijkstra,13.3791,0.064769,5843,True,15.0458
10-50,50,500057,Breadth-First,13.3791,0.037046,5624,True,15.7778
10-50,50,500057,Theta*,13.3791,0.00872,39,True,14.9528
10-50,50,500058,A*,20.445,0.00166,76,True,22.1954
10-50,50,500058,Dijkstra,20.445,0.302666,26901,True,22.1954
10-50,50,500058,Breadth-First,20.445,0.100044,15035,True,22.1954
10-50,50,500058,Theta*,20.445,0.000738,16,True,21.0296
10-50,50,500059,A*,38.0789,0.083379,2252,True,43.6595
